,rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
9063,9064,10452252,K08012.01,,CANDIDATE,CANDIDATE,0.989,0,0,0,0,34.573718512,,,136.2275493,,,0.22,,,2.1742,,,399.0,,,0.42,0.17,-0.12,199.0,,,0.37,0.47,-0.19,5.7,7.0,q1_q17_dr25_tce,3374.0,112.0,-82.0,5.066,0.10300000000000001,-0.126,0.218,0.09,-0.06,283.15057,47.671966999999995,15.708
8504,8505,7186259,K07582.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,4.23965309,,,132.97039669999998,,,,,,3.29,,,,,,,,,,,,,,,,1.0,q1_q17_dr24_tce,,,,,,,,,,286.94995,42.741459000000006,14.125
1611,1612,11656918,K01945.02,,CANDIDATE,CANDIDATE,,0,0,0,0,17.1181036,0.0009062,-0.0009062,136.19429,0.00851,-0.00851,0.4346,0.0697,-0.4346,1.29,0.34,-0.34,167.7,43.9,-43.9,1.22,0.46,-0.09,654.0,,,43.25,48.35,-10.24,6.1,,,5576.0,157.0,-156.0,4.515,0.033,-0.281,0.929,0.35,-0.07,289.02975,49.769711,14.52
5252,5253,8559589,K03697.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,223.1127475,0.0002903,-0.0002903,140.947135,0.000892,-0.000892,1.266,0.17,-0.094,8.9683,0.0509,-0.0509,11539.0,61.4,-61.4,46.33,13.82,-6.36,332.0,,,2.87,2.52,-1.0,224.5,1.0,q1_q17_dr25_tce,6211.0,169.0,-206.0,4.388999999999999,0.105,-0.195,1.056,0.315,-0.145,291.63467,44.647597999999995,14.38
4634,4635,8043721,K04812.01,,FALSE POSITIVE,FALSE POSITIVE,0.216,1,0,0,0,0.77957913,1.053e-05,-1.053e-05,131.7173,0.0102,-0.0102,0.183,0.288,-0.183,2.457,0.356,-0.356,70.4,7.5,-7.5,0.71,0.21,-0.06,1819.0,,,2585.39,2255.97,-716.48,11.1,1.0,q1_q17_dr25_tce,5699.0,169.0,-186.0,4.553,0.034,-0.195,0.853,0.248,-0.078,296.66177000000005,43.811432,15.703
6849,6850,11021266,K05852.01,,CANDIDATE,CANDIDATE,,0,0,0,0,235.413973,0.00535,-0.00535,307.0728,0.0157,-0.0157,0.1095,0.3364,-0.1094,3.065,0.325,-0.325,1027.0,180.0,-180.0,3.2,1.41,-0.3,304.0,,,2.03,2.66,-0.61,6.9,1.0,q1_q16_tce,6028.0,166.0,-224.0,4.468,0.048,-0.304,1.001,0.441,-0.096,287.36044,48.5564,15.583
2779,2780,4165960,K00395.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,6.77449545,1.184e-05,-1.184e-05,171.0118,0.00132,-0.00132,1.178,34.2,-0.025,2.5416,0.0779,-0.0779,481.9,13.7,-13.7,29.41,5.15,-3.44,1219.0,,,521.03,230.32,-135.32,41.9,1.0,q1_q17_dr25_tce,6517.0,71.0,-84.0,4.265,0.08,-0.12,1.342,0.235,-0.157,293.57086,39.25264,13.889000000000001
2807,2808,9899352,K03135.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,1.332562831,6.857999999999999e-06,-6.857999999999999e-06,132.05088,0.00496,-0.00496,1.241,0.54,-0.09,6.24,0.228,-0.228,297.9,9.6,-9.6,24.29,5.85,-1.95,1532.0,,,1301.29,926.14,-325.04,37.3,1.0,q1_q17_dr25_tce,5718.0,153.0,-170.0,4.5489999999999995,0.04,-0.16,0.863,0.208,-0.069,295.21036000000004,46.749321,15.845999999999998
2536,2537,8892303,K02688.01,Kepler-1314 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.424749327000001,3.898e-06,-3.898e-06,133.728952,0.000713,-0.000713,0.016,0.354,-0.016,1.139,0.0232,-0.0232,7680.0,122.0,-122.0,5.15,0.37,-0.63,625.0,,,36.05,11.41,-12.31,78.0,1.0,q1_q17_dr25_tce,4137.0,145.0,-160.0,4.658,0.063,-0.027000000000000003,0.591,0.042,-0.072,294.23764,45.197105,16.406
2467,2468,7428316,K02809.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,7.12684695,5.579e-05,-5.579e-05,137.42807,0.00673,-0.00673,0.71,0.186,-0.71,3.179,0.549,-0.549,206.3,17.3,-17.3,1.38,0.35,-0.13,941.0,,,185.17,140.87,-49.92,20.7,1.0,q1_q17_dr25_tce,6050.0,164.0,-182.0,4.525,0.044000000000000004,-0.17600000000000002,0.896,0.231,-0.082,285.98483,43.090912,14.8
