,rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
1399,1400,9471268,K01835.01,Kepler-326 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.5803461610000005,7.037999999999999e-06,-7.037999999999999e-06,134.0754,0.00131,-0.00131,0.384,0.077,-0.384,2.097,0.0384,-0.0384,308.3,6.8,-6.8,1.38,0.09,-0.07,889.0,,,147.56,33.76,-23.82,49.8,2.0,q1_q17_dr25_tce,5103.0,101.0,-101.0,4.558,0.032,-0.05,0.789,0.052,-0.037,294.32552999999996,46.002251,13.693
8081,8082,3749508,K07544.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,2.403704619,,,131.5641527,,,1.007,,,0.8927,,,110.6,,,27.04,5.11,-15.34,3903.0,,,54903.0,30341.52,-45896.06,1.4,2.0,q1_q17_dr25_tce,6244.0,148.0,-204.0,2.897,0.512,-0.096,10.105,1.91,-5.731,292.1059,38.836220000000004,13.151
597,598,3232859,K01090.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,8.387210055,2.133e-06,-2.133e-06,138.903759,0.000221,-0.000221,1.284,31.34,-0.104,1.6477,0.0122,-0.0122,4952.0,33.4,-33.4,72.52,11.35,-17.05,1211.0,,,509.55,209.48,-227.16,180.6,1.0,q1_q17_dr25_tce,6089.0,82.0,-82.0,4.044,0.182,-0.098,1.795,0.281,-0.422,290.862,38.35358,14.01
7464,7465,5952309,K06636.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,0.9056782520000001,4.6960000000000004e-06,-4.6960000000000004e-06,132.19647,0.00459,-0.00459,0.357,0.098,-0.357,1.249,0.149,-0.149,70.4,8.1,-8.1,0.78,0.23,-0.08,1901.0,,,3074.42,2708.48,-898.25,11.1,1.0,q1_q17_dr25_tce,6075.0,164.0,-201.0,4.501,0.052000000000000005,-0.20800000000000002,0.909,0.273,-0.091,289.263,41.26638,14.92
6121,6122,5942112,K05210.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,125.95781975,,,134.667118,,,,,,8.63,,,,,,,,,,,,,,,,1.0,q1_q16_tce,,,,,,,,,,284.88382,41.248539,15.184000000000001
101,102,3838486,K00808.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,2.99025443,1.168e-05,-1.168e-05,171.9834,0.00309,-0.00309,0.014,0.334,-0.014,5.414,0.113,-0.113,589.2,14.1,-14.1,1.7,0.1,-0.15,918.0,,,168.45,43.55,-45.45,48.5,1.0,q1_q17_dr25_tce,4667.0,140.0,-154.0,4.578,0.048,-0.027999999999999997,0.731,0.042,-0.063,287.74881,38.92955,15.842
2880,2881,5520547,K02990.01,Kepler-1401 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,11.20058855,7.691e-05,-7.691e-05,137.51003,0.00496,-0.00496,0.956,0.002,-0.744,4.562,0.128,-0.128,219.9,13.0,-13.0,1.7,0.47,-0.16,808.0,,,100.91,81.91,-27.32,19.2,1.0,q1_q17_dr25_tce,6038.0,163.0,-181.0,4.524,0.046,-0.184,0.898,0.248,-0.083,287.46606,40.75845,14.982000000000001
8676,8677,2580872,K06283.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,15.926632768,1.5709999999999999e-06,-1.5709999999999999e-06,145.5519669,7.8e-05,-7.8e-05,0.672,0.009,-0.009,7.42888,0.00415,-0.00415,271860.0,132.0,-132.0,57.95,14.03,-7.01,670.0,,,47.68,35.07,-15.05,2278.9,1.0,q1_q17_dr25_tce,5496.0,164.0,-164.0,4.471,0.075,-0.163,0.917,0.222,-0.111,292.52859,37.81002,14.88
5459,5460,5565486,K03742.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,1.4125240159999999,1.83e-07,-1.83e-07,131.704429,0.000117,-0.000117,0.846,0.046,-0.037,5.74859,0.00587,-0.00587,175780.0,149.0,-149.0,68.92,20.19,-8.63,1978.0,,,3627.17,3136.17,-1284.87,1475.4,1.0,q1_q17_dr25_tce,6690.0,185.0,-278.0,4.375,0.062,-0.175,1.174,0.344,-0.147,299.37807999999995,40.757359,14.964
325,326,11502218,K00970.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,3.9886021,8.034e-06,-8.034e-06,171.01852,0.00159,-0.00159,0.06,0.364,-0.06,1.7376,0.0588,-0.0588,673.5,21.8,-21.8,34.39,4.71,-10.99,3145.0,,,23135.72,8030.46,-13457.76,37.1,1.0,q1_q17_dr25_tce,4813.0,50.0,-121.0,2.472,0.156,-0.11699999999999999,13.652,1.869,-4.361,289.09323,49.424484,6.974
1433,1434,6862721,K01982.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,4.88753111,2.174e-05,-2.174e-05,132.70783,0.00368,-0.00368,0.147,0.31,-0.147,2.034,0.117,-0.117,679.6,46.8,-46.8,2.45,0.61,-0.2,1003.0,,,239.11,179.51,-63.03,17.4,1.0,q1_q17_dr25_tce,5568.0,166.0,-183.0,4.499,0.044000000000000004,-0.187,0.957,0.237,-0.079,291.71146,42.341499,15.767999999999999
2976,2977,10189546,K00427.02,Kepler-549 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,42.949522,0.0001488,-0.0001488,153.73786,0.00264,-0.00264,0.013,0.42,-0.013,5.4154,0.0898,-0.0898,959.1,25.2,-25.2,2.98,0.32,-0.35,487.0,,,13.29,4.04,-3.57,40.7,2.0,q1_q17_dr25_tce,5312.0,79.0,-79.0,4.3839999999999995,0.13699999999999998,-0.07400000000000001,0.986,0.107,-0.117,283.0228,47.261131,14.620999999999999
2677,2678,12643589,K00376.02,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,1.411627439,8.27e-07,-8.27e-07,178.263426,0.000453,-0.000453,0.853,0.039,-0.614,1.0814,0.0154,-0.0154,515.2,11.1,-11.1,2.99,0.97,-0.33,1966.0,,,3523.63,3272.15,-1073.69,53.1,2.0,q1_q17_dr25_tce,6692.0,160.0,-220.0,4.383,0.065,-0.20800000000000002,1.152,0.374,-0.125,288.32147000000003,51.726601,13.754000000000001
1207,1208,5183357,K01669.01,Kepler-924 b,CONFIRMED,CANDIDATE,0.989,0,0,0,0,61.0373591,0.0003231,-0.0003231,175.17671,0.0046,-0.0046,0.071,0.366,-0.071,8.378,0.132,-0.132,437.5,12.6,-12.6,3.38,0.59,-0.53,610.0,,,32.74,14.62,-10.68,40.2,1.0,q1_q17_dr25_tce,6309.0,75.0,-82.0,4.154,0.132,-0.12,1.614,0.282,-0.254,290.66852,40.39772,14.171
8458,8459,8736245,K07082.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,2.534740757,4.2700000000000005e-07,-4.2700000000000005e-07,133.47783700000002,0.00014,-0.00014,0.51,0.01,-0.014,4.85013,0.00772,-0.00772,364350.0,627.0,-627.0,52.52,11.84,-5.04,1230.0,,,541.27,362.91,-144.87,675.7,1.0,q1_q17_dr25_tce,5810.0,157.0,-157.0,4.56,0.05,-0.15,0.781,0.176,-0.075,283.43408,44.989731,13.798
9429,9430,7757698,K07848.01,,FALSE POSITIVE,FALSE POSITIVE,0.207,1,0,0,0,369.181947,0.006711,-0.006711,399.5169,0.0154,-0.0154,0.021,0.428,-0.021,3.239,0.352,-0.352,913.0,112.0,-112.0,2.6,0.77,-0.24,245.0,,,0.85,0.73,-0.23,9.9,1.0,q1_q17_dr25_tce,5959.0,160.0,-178.0,4.546,0.036000000000000004,-0.204,0.859,0.252,-0.079,293.43799,43.476501,14.433
6371,6372,9407689,K05669.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,130.110715,0.002352,-0.002352,165.4972,0.012,-0.012,0.1883,0.2767,-0.1883,2.227,0.396,-0.396,251.9,53.5,-53.5,1.32,0.47,-0.1,343.0,,,3.26,3.34,-0.76,6.4,1.0,q1_q16_tce,5960.0,152.0,-159.0,4.561,0.03,-0.251,0.828,0.292,-0.063,293.30792,45.983459,14.241
8444,8445,7868967,K06925.01,,CANDIDATE,CANDIDATE,,0,0,0,0,12.9489256,0.0001853,-0.0001853,142.445,0.0137,-0.0137,0.0847,0.4753,-0.0846,2.162,0.685,-0.685,331.0,125.0,-125.0,0.94,0.09,-0.13,416.0,,,7.09,2.14,-2.47,7.2,1.0,q1_q17_dr24_tce,3867.0,80.0,-135.0,4.734,0.07,-0.07,0.525,0.05,-0.07,281.35677999999996,43.658352,15.663
1039,1040,9899280,K01559.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,1.332560589,2.18e-06,-2.18e-06,133.38311000000002,0.0013,-0.0013,0.009,0.243,-0.009,4.2427,0.0452,-0.0452,566.6,6.3,-6.3,1.4,0.13,-0.11,1086.0,,,330.32,114.05,-81.13,108.8,1.0,q1_q17_dr25_tce,4489.0,134.0,-134.0,4.662,0.04,-0.036000000000000004,0.609,0.057,-0.047,295.18561,46.786709,15.036
5167,5168,6314185,K03752.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,1,1.433262145,1.625e-06,-1.625e-06,132.822323,0.00095,-0.00095,0.933,0.002,-0.002,5.6316,0.0552,-0.0552,1849.5,15.3,-15.3,5.67,1.54,-1.27,1769.0,,,2319.46,1906.69,-1094.34,159.3,1.0,q1_q17_dr25_tce,5977.0,179.0,-197.0,4.3180000000000005,0.19,-0.19,1.068,0.291,-0.238,299.24219,41.62323,14.888
1876,1877,4247991,K02311.02,,CANDIDATE,CANDIDATE,,0,0,0,0,13.72549689,,,145.03351999999998,,,,,,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,287.24118,39.33276,12.57
6452,6453,8718273,K05564.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,3.479508244,2.034e-06,-2.034e-06,133.389072,0.000491,-0.000491,1.252,3.067,-0.128,3.9097,0.026,-0.026,3000.4,18.2,-18.2,444.46,73.73,-101.4,3167.0,,,23775.98,10105.8,-10352.41,195.7,1.0,q1_q17_dr25_tce,4630.0,55.0,-62.0,2.437,0.126,-0.115,12.623,2.094,-2.879,300.76859,44.83062,10.565
4398,4399,9345819,K04615.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,1,1.04588635,1.177e-05,-1.177e-05,131.9887,0.0091,-0.0091,0.204,0.259,-0.204,2.833,0.637,-0.637,102.7,11.5,-11.5,1.1,0.36,-0.12,1972.0,,,3582.91,3567.41,-1152.96,13.2,1.0,q1_q17_dr25_tce,6249.0,196.0,-239.0,4.428,0.054000000000000006,-0.21600000000000003,1.076,0.353,-0.118,293.21414,45.82597,15.805
2330,2331,8167959,K00267.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,0,165.75597,0.01043,-0.01043,207.3074,0.038,-0.038,98.6021,2.393,-31.26,8.45,1.6,-1.6,57.3,9.7,-9.7,15049.8,6523.0,-4104.0,398.0,,,5.96,7.57,-3.11,12.8,,,5800.0,147.0,-142.0,4.119,0.263,-0.222,1.412,0.612,-0.385,292.62637,44.02113,10.458
2551,2552,3969687,K02904.01,Kepler-1382 b,CONFIRMED,CANDIDATE,0.996,0,0,0,0,16.3583482,0.0001031,-0.0001031,141.25354,0.00535,-0.00535,0.887,0.006,-0.632,9.858,0.148,-0.148,116.4,4.4,-4.4,2.23,0.42,-0.52,959.0,,,200.1,103.95,-92.05,30.0,1.0,q1_q17_dr25_tce,6133.0,111.0,-135.0,4.084,0.174,-0.13,1.765,0.334,-0.409,295.37737999999996,39.048031,12.683
5418,5419,2994092,K06301.01,,CANDIDATE,CANDIDATE,0.789,0,0,0,0,50.271927,0.001128,-0.001128,160.466,0.0177,-0.0177,0.205,0.246,-0.205,6.073,0.514,-0.514,574.5,67.7,-67.7,2.94,0.88,-0.38,589.0,,,28.51,24.34,-10.19,9.3,1.0,q1_q17_dr25_tce,6520.0,158.0,-270.0,4.375,0.062,-0.188,1.215,0.362,-0.155,292.40063,38.134578999999995,15.923
1751,1752,3661886,K02279.01,Kepler-377 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,27.0142622,0.0001497,-0.0001497,132.52245,0.00487,-0.00487,0.009,0.443,-0.009,5.385,0.126,-0.126,287.6,12.1,-12.1,2.0,0.31,-0.28,677.0,,,49.65,21.43,-15.73,25.5,1.0,q1_q17_dr25_tce,5949.0,107.0,-119.0,4.303,0.12,-0.10800000000000001,1.184,0.183,-0.165,295.422,38.735690999999996,13.86
3567,3568,11858979,K04062.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,3.05933906,7.25e-05,-7.25e-05,131.7541,0.0194,-0.0194,1.259,6.753,-0.16,1.7332,0.0658,-0.0658,1169.2,36.8,-36.8,36.0,10.97,-5.9,1434.0,,,999.16,926.77,-402.64,37.7,1.0,q1_q17_dr25_tce,6238.0,197.0,-241.0,4.337,0.132,-0.198,1.116,0.34,-0.183,288.90887000000004,50.16283,14.077
8182,8183,11027270,K07401.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,0.533628226,7.449e-06,-7.449e-06,132.00331,0.0069,-0.0069,0.9385,0.0388,-0.6487,5.772,0.311,-0.311,81.8,22.3,-22.3,2.41,0.77,-0.84,3885.0,,,53849.23,50393.63,-34103.04,35.3,2.0,q1_q17_dr24_tce,7163.0,188.0,-254.0,3.906,0.282,-0.282,2.177,0.699,-0.76,290.64642000000003,48.597091999999996,11.299000000000001
4440,4441,5208962,K04912.01,,CANDIDATE,CANDIDATE,0.969,0,0,0,0,0.876850385,7.718e-06,-7.718e-06,131.77033,0.00832,-0.00832,0.049,0.421,-0.049,1.534,0.225,-0.225,59.2,8.1,-8.1,1.35,0.23,-0.31,2543.0,,,9858.55,4300.75,-4349.67,9.7,1.0,q1_q17_dr25_tce,6102.0,79.0,-85.0,4.069,0.174,-0.11599999999999999,1.756,0.295,-0.406,297.19199,40.387951,14.878
603,604,10330115,K01160.01,Kepler-781 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,13.21409607,3.701e-05,-3.701e-05,140.58491999999998,0.00246,-0.00246,0.812,0.106,-0.606,3.5641,0.07,-0.07,1154.8,35.1,-35.1,2.77,0.43,-0.23,629.0,,,36.95,18.38,-9.05,38.0,1.0,q1_q17_dr25_tce,5333.0,159.0,-143.0,4.62,0.032,-0.09699999999999999,0.728,0.112,-0.06,287.65362999999996,47.414809999999996,15.987
5765,5766,7021534,K02267.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,9.06557317,2.626e-05,-2.626e-05,135.15008999999998,0.00236,-0.00236,0.432,0.04,-0.432,1.6208,0.0743,-0.0743,243.4,12.1,-12.1,1.46,0.42,-0.14,880.0,,,141.9,118.72,-38.99,24.9,1.0,q1_q17_dr25_tce,6075.0,164.0,-182.0,4.51,0.05,-0.2,0.916,0.261,-0.087,287.79138,42.574108,14.005
6495,6496,10661679,K05818.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,1.23138339,1.601e-05,-1.601e-05,131.7865,0.013,-0.013,0.348,0.117,-0.348,3.943,0.193,-0.193,72.7,4.2,-4.2,0.82,0.26,-0.07,1648.0,,,1746.21,1650.8,-439.07,21.0,1.0,q1_q17_dr25_tce,5791.0,156.0,-174.0,4.505,0.039,-0.221,0.958,0.309,-0.077,290.25307999999995,47.983318,14.804
9426,9427,7367164,K07835.01,,CANDIDATE,CANDIDATE,0.825,0,0,0,0,3.76565247,3.03e-05,-3.03e-05,132.52476000000001,0.00678,-0.00678,0.535,0.437,-0.323,1.557,0.233,-0.233,92.4,12.2,-12.2,0.87,0.23,-0.08,1108.0,,,356.3,269.19,-90.57,9.1,1.0,q1_q17_dr25_tce,5815.0,140.0,-157.0,4.54,0.044000000000000004,-0.17600000000000002,0.877,0.231,-0.077,293.13828,42.965140999999996,14.687999999999999
1681,1682,8165946,K02105.01,Kepler-1100 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.42199919,2.499e-05,-2.499e-05,134.58037,0.00343,-0.00343,0.281,0.168,-0.281,2.6192,0.0841,-0.0841,161.6,7.4,-7.4,1.25,0.2,-0.07,1000.0,,,236.21,95.47,-37.32,25.4,1.0,q1_q17_dr25_tce,5985.0,72.0,-84.0,4.468,0.032,-0.128,0.981,0.154,-0.055,291.87134,44.087379,13.862
2207,2208,3728701,K02536.01,Kepler-1272 b,CONFIRMED,CANDIDATE,0.883,0,0,0,0,51.1319346,0.0004368,-0.0004368,137.1568,0.00795,-0.00795,0.829,0.047,-0.564,6.019,0.194,-0.194,382.3,21.6,-21.6,2.43,0.74,-0.4,542.0,,,20.36,18.86,-8.01,19.6,1.0,q1_q17_dr25_tce,6071.0,189.0,-210.0,4.353,0.132,-0.198,1.107,0.338,-0.182,285.21985,38.805882000000004,14.423
1637,1638,9489524,K02029.01,Kepler-352 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,16.33269981,7.767e-05,-7.767e-05,136.90909,0.00391,-0.00391,0.893,0.055,-0.629,2.174,0.114,-0.114,300.4,19.3,-19.3,1.61,0.11,-0.09,591.0,,,28.76,6.94,-4.95,17.5,1.0,q1_q17_dr25_tce,5208.0,103.0,-103.0,4.563,0.036000000000000004,-0.052000000000000005,0.772,0.055,-0.041,299.89651000000003,46.051971,12.957
497,498,3756801,K01206.01,,CANDIDATE,CANDIDATE,,0,0,0,0,422.917678,0.009327,-0.009327,448.49647999999996,0.00625,-0.00625,0.7887,0.0436,-0.417,31.274,0.709,-0.709,1367.7,24.6,-24.6,5.89,2.64,-1.62,292.0,,,1.73,2.32,-0.92,61.7,,,5796.0,162.0,-165.0,4.12,0.256,-0.22399999999999998,1.444,0.648,-0.397,293.95459,38.899971,13.642000000000001
322,323,6579806,K00967.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,9.88047978,1.5530000000000002e-06,-1.5530000000000002e-06,173.60867199999998,0.000127,-0.000127,1.02,0.237,-0.041,2.78458,0.00644,-0.00644,18541.0,36.6,-36.6,23.6,7.06,-2.34,860.0,,,129.45,113.32,-37.5,534.5,1.0,q1_q17_dr25_tce,6113.0,164.0,-200.0,4.512,0.052000000000000005,-0.20800000000000002,0.917,0.274,-0.091,281.66916000000003,42.038639,15.212
795,796,11600889,K01442.01,Kepler-407 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,0.669310092,5.870000000000001e-07,-5.870000000000001e-07,134.131388,0.000727,-0.000727,0.157,0.272,-0.157,1.6274,0.0254,-0.0254,131.8,2.1,-2.1,1.13,0.16,-0.09,1983.0,,,3643.96,1449.66,-796.61,75.3,1.0,q1_q17_dr25_tce,5475.0,109.0,-109.0,4.426,0.076,-0.10400000000000001,1.003,0.137,-0.08,286.03635,49.614509999999996,12.520999999999999
1618,1619,9838975,K00218.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,18.692860599,1.747e-06,-1.747e-06,143.83318290000003,7.72e-05,-7.72e-05,0.116,0.023,-0.078,3.88584,0.00636,-0.00636,51256.0,48.0,-48.0,14.81,2.0,-0.92,528.0,,,18.4,8.27,-3.9,1281.9,1.0,q1_q17_dr25_tce,5190.0,156.0,-140.0,4.66,0.027999999999999997,-0.083,0.66,0.089,-0.041,295.03354,46.600151000000004,16.147000000000002
7514,7515,5087223,K06513.01,,CANDIDATE,CANDIDATE,,0,0,0,0,5.62241111,3.876e-05,-3.876e-05,132.74702,0.00521,-0.00521,0.4026,0.0574,-0.4025,1.185,0.158,-0.158,464.1,65.9,-65.9,1.17,0.11,-0.11,561.0,,,23.43,6.6,-5.95,8.5,1.0,q1_q17_dr24_tce,3894.0,70.0,-95.0,4.71,0.06,-0.06,0.541,0.05,-0.05,287.97455,40.25523,15.627
6166,6167,4917658,K05103.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,586.91711807,,,275.4739232,,,,,,5.32,,,,,,,,,,,,,,,,1.0,q1_q16_tce,,,,,,,,,,289.95306,40.011101000000004,15.58
1854,1855,6666233,K02306.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,0.512407185,5.22e-07,-5.22e-07,132.240449,0.000835,-0.000835,0.301,0.142,-0.301,1.0579,0.0299,-0.0299,329.2,8.8,-8.8,1.03,0.04,-0.08,1255.0,,,583.45,107.61,-122.35,46.1,1.0,q1_q17_dr25_tce,3862.0,77.0,-84.0,4.69,0.042,-0.018000000000000002,0.563,0.026,-0.04,282.28439,42.15419,14.78
5023,5024,11303322,K03345.01,Kepler-1472 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,38.1303324,0.0005845,-0.0005845,159.3878,0.0191,-0.0191,0.562,0.39,-0.35,6.53,1.1,-1.1,180.4,28.2,-28.2,1.54,0.47,-0.19,613.0,,,33.43,29.33,-10.82,11.6,1.0,q1_q17_dr25_tce,6370.0,160.0,-208.0,4.41,0.062,-0.188,1.106,0.336,-0.134,294.85263,49.057468,14.633
856,857,9455556,K01396.01,Kepler-294 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.62643441,1.661e-05,-1.661e-05,183.98789,0.00192,-0.00192,0.111,0.302,-0.111,3.1752,0.0609,-0.0609,814.6,21.7,-21.7,2.54,0.31,-0.12,895.0,,,151.59,49.33,-22.13,40.6,1.0,q1_q17_dr25_tce,5616.0,76.0,-84.0,4.529,0.018000000000000002,-0.102,0.903,0.109,-0.043,287.392,46.059311,15.843
3506,3507,10384962,K00619.01,,CANDIDATE,CANDIDATE,0.691,0,1,0,0,2.8792433230000003,1.193e-06,-1.193e-06,170.71063600000002,0.000327,-0.000327,0.709,0.014,-0.014,2.6273,0.0269,-0.0269,48050.0,355.0,-355.0,21.02,6.13,-2.04,1244.0,,,565.39,471.15,-157.34,200.5,1.0,q1_q17_dr25_tce,5941.0,142.0,-178.0,4.533,0.048,-0.204,0.885,0.258,-0.086,281.77554,47.59325,14.370999999999999
8218,8219,6629156,K06747.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,0.71538172,,,131.5505,,,,,,5.0,,,,,,,,,,,,7377.38,14021.01,-2565.07,,1.0,q1_q17_dr25_tce,,,,,,,,,,297.66974,42.08886,14.67
4325,4326,4857058,K03061.02,,FALSE POSITIVE,FALSE POSITIVE,0.129,1,0,0,0,77.915425,0.002543,-0.002543,160.9193,0.0216,-0.0216,0.448,0.524,-0.247,8.274,0.687,-0.687,178.8,24.8,-24.8,1.17,0.06,-0.09,367.0,,,4.28,0.81,-0.86,9.2,2.0,q1_q17_dr25_tce,5135.0,84.0,-76.0,4.4639999999999995,0.084,-0.039,0.874,0.048,-0.069,297.04208,39.912231,14.315999999999999
9002,9003,10340212,K08003.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,1,1,0.93374894,1.45e-05,-1.45e-05,131.526,0.0153,-0.0153,0.457,0.028,-0.457,4.637,0.67,-0.67,226.2,40.6,-40.6,0.18,0.0,0.0,433.0,,,8.36,0.0,0.0,9.3,1.0,q1_q17_dr25_tce,2661.0,0.0,0.0,5.2829999999999995,0.0,0.0,0.116,0.0,0.0,292.11115,47.452293,13.81
5825,5826,4927315,K01663.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,11.76921923,4.015e-05,-4.015e-05,138.41222,0.00284,-0.00284,0.964,0.005,-0.685,3.219,0.155,-0.155,519.3,21.3,-21.3,3.12,0.99,-0.39,868.0,,,134.04,124.72,-46.48,27.4,1.0,q1_q17_dr25_tce,6215.0,172.0,-237.0,4.44,0.067,-0.21600000000000003,1.052,0.332,-0.133,292.79404,40.074581,14.985999999999999
8288,8289,3965201,K07546.01,,CANDIDATE,CANDIDATE,,0,0,0,0,44.113873,0.001449,-0.001449,164.8337,0.0254,-0.0254,0.032,0.419,-0.032,3.956,0.842,-0.842,196.3,31.0,-31.0,4.9,0.88,-1.62,1158.0,,,424.45,238.17,-262.15,6.6,4.0,q1_q17_dr24_tce,7854.0,227.0,-311.0,3.6689999999999996,0.258,-0.258,3.462,0.624,-1.141,294.31064,39.049702,12.667
225,226,757450,K00889.01,Kepler-75 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,8.884922995,1.6359999999999999e-06,-1.6359999999999999e-06,169.99168600000002,0.000144,-0.000144,0.069,0.087,-0.069,2.07004,0.007090000000000001,-0.007090000000000001,16053.0,47.4,-47.4,10.51,0.56,-0.57,770.0,,,83.21,16.69,-13.87,388.2,1.0,q1_q17_dr25_tce,5332.0,106.0,-96.0,4.5,0.05,-0.036000000000000004,0.843,0.045,-0.045,291.1376,36.577381,15.264000000000001
3523,3524,12251650,K00621.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,17.761998411,1.794e-06,-1.794e-06,174.1831018,8.11e-05,-8.11e-05,0.907,0.016,-0.015,2.4644,0.00925,-0.00925,24177.0,51.2,-51.2,14.25,1.39,-1.25,538.0,,,19.78,6.98,-5.03,731.7,1.0,q1_q17_dr25_tce,5088.0,151.0,-136.0,4.612,0.061,-0.044000000000000004,0.669,0.065,-0.059,287.46097000000003,50.975071,14.762
5677,5678,7287028,K07832.01,,CANDIDATE,CANDIDATE,0.465,0,0,0,0,3.6092231,0.0005535,-0.0005535,132.463,0.188,-0.188,0.364,0.203,-0.364,2.8,10.3,-10.3,52.4,10.3,-10.3,0.68,0.21,-0.07,1192.0,,,477.0,437.64,-138.07,4.4,1.0,q1_q17_dr25_tce,6032.0,162.0,-180.0,4.508,0.05,-0.212,0.929,0.291,-0.097,293.35861,42.80666,13.534
9371,9372,8748435,K08167.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,259.85736,0.01512,-0.01512,291.1798,0.0528,-0.0528,0.512,0.079,-0.429,24.04,1.7,-1.7,307.7,26.4,-26.4,1.33,0.22,-0.1,237.0,,,0.74,0.39,-0.17,14.2,1.0,q1_q17_dr25_tce,5374.0,159.0,-143.0,4.61,0.037000000000000005,-0.105,0.744,0.122,-0.057,289.86804,44.960029999999996,14.458
6961,6962,7100673,K04032.04,Kepler-1542 e,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.10110666,2.355e-05,-2.355e-05,132.42955,0.00359,-0.00359,0.083,0.355,-0.083,2.657,0.112,-0.112,65.1,3.7,-3.7,0.85,0.13,-0.12,1065.0,,,304.8,135.84,-95.53,19.5,2.0,q1_q17_dr25_tce,5574.0,111.0,-100.0,4.354,0.132,-0.10800000000000001,1.065,0.166,-0.15,285.72848999999997,42.65453,12.639000000000001
3081,3082,11823054,K00543.01,Kepler-181 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.302139338,4.644e-06,-4.644e-06,173.438922,0.000884,-0.000884,0.652,0.028,-0.491,2.0289,0.0326,-0.0326,747.2,12.9,-12.9,2.46,0.12,-0.19,937.0,,,182.7,31.44,-36.11,65.5,1.0,q1_q17_dr25_tce,5041.0,83.0,-75.0,4.479,0.077,-0.033,0.857,0.041,-0.066,296.1514,50.09581,14.707
